Mixture	Tgd	CD8_Tem	Tte	MAIT	NK	Treg	CD4_Tem	CD8_Tem_PD1	Naive_like	HLADR_CD8	Tex	P-value	Correlation	RMSE
TCGA.A6.5662.01A.01R.1653.07	0.0544510152689653	0.266130615751369	0.0901355755261858	0.0689075047752982	0.0642663628614088	0.075107063613276	0.0900198898009873	0.062277911003094	0.134875368922102	0.0138801840191494	0.0799485084581642	0	0.523803608095814	0.857767622632999
TCGA.A6.5662.11A.01R.1653.07	0.0278914394621152	0.191498939298028	0.0996257940900895	0.0294856553946979	0.0923241117387032	0.0364386458621627	0.114290998861032	0.0721553655747361	0.103213172928919	0.157451623063085	0.0756242537264327	0	0.739347096777343	0.716989902834429
TCGA.A6.5664.01A.21R.1839.07	0.0482647068457452	0.168715398446113	0.105589914408845	0.0503895624748285	0.112112285319555	0.0778451435169599	0.0945277928782749	0.0133139337964319	0.0889763311400936	0.149232745794469	0.0910321853786841	0	0.822224044456931	0.65119772378852
TCGA.A6.5665.01A.01R.1653.07	0.0498104020362606	0.250847692145072	0.0815229709130753	0.054010625497842	0.0700169436144809	0.0878563430149618	0.0862734661002786	0.0411775482625902	0.120657368556852	0.0837359032515141	0.0740907366070715	0	0.796357161228822	0.69939257019074
TCGA.A6.5665.01B.03R.2302.07	0.0591372533057872	0.285385502922172	0.067873748264412	0.103373103642913	0.0801224421820912	0.0569607927384154	0.0613872323932025	0.0536791210324161	0.157736563066354	0.0145874398320005	0.0597568006202357	0	0.633952424104572	0.805529031783834
TCGA.A6.5665.11A.01R.1653.07	0.0182154761287709	0.140016241618774	0.11113794503764	0.044186250111112	0.0889147172398656	0.0329289427819408	0.136134596127532	0.0935792683358652	0.0621317692773927	0.202450605136961	0.0703041882041455	0	0.692392382540943	0.737153453271632
TCGA.A6.5666.01A.01R.1653.07	0.0721302634715481	0.237164145818824	0.0558128041968463	0.0597453000352626	0.0953059452901844	0.0822893006171454	0.102885569482147	0.0718685365967817	0.134540283385712	0.0119598530371691	0.0762979980683793	0	0.687793205861765	0.770688350128746
TCGA.A6.5667.01A.21R.1723.07	0.0725587915121653	0.256946329188552	0.0729528357422145	0.0763274079635171	0.0734422274484021	0.0674721766000707	0.0979111425676763	0.110847442637873	0.12377456954737	0	0.0477670767921589	0	0.738358583096021	0.746729863220444
TCGA.A6.5667.11A.01R.1723.07	0.0395627176990015	0.11469062294942	0.107798950739392	0.0382104307253042	0.0952228131587276	0.0355076614588537	0.141738706708262	0.0838698542958734	0.083541566779582	0.178711745216219	0.0811449302693645	0	0.661967128209358	0.760910253614925
TCGA.A6.6137.01A.11R.1774.07	0.0508811299049951	0.127618062140075	0.109013629227308	0.0491813143196721	0.0943712750969318	0.0693102381254146	0.104813635815189	0.0824813627076735	0.089797920979221	0.155718798320548	0.0668126333629715	0	0.796828171766872	0.670985991758585
TCGA.A6.6138.01A.11R.1774.07	0.0590600598972118	0.192998192832251	0.0907260099879061	0.0585930124911685	0.112822672116535	0.0813260588240413	0.106751403263533	0.0555073941706805	0.0848327490487455	0.0775711089435289	0.079811338424399	0	0.760667139104424	0.713568021624012
