Mixture	CD4_Tem	CD8_Tem_GZMK_high	CD8_Tem_GZMK_low	CD8_Tem_PD1	HLADR_CD8	MAIT	Naive_like	NK	Tex	Tgd	Treg	Tte	P-value	Correlation	RMSE
TCGA.A6.2674.01A.02R.0821.07	0.109318262816251	0.0796662922220003	0.0903858204599886	0.0312833377731931	0.0501321539982038	0.0620672350484815	0.166714695791824	0.129203893522498	0.0768723705590667	0.0624136917606852	0.0636723797240634	0.0782698663237446	0	0.600826068578165	0.808801866202891
TCGA.A6.2674.01A.02R.A278.07	0.113995481163824	0.0960929769271432	0.033291788800732	0.0625071402432334	0.0694546006059016	0.103009565168987	0.170211826740632	0.130338798461958	0.0649122516355959	0.0511575285085715	0.060630241678268	0.0443978000651533	0	0.565995287314497	0.82972945575262
TCGA.A6.2674.01B.04R.A277.07	0.129572731589706	0.0359363067186103	0.0166663154874587	0.110195609245139	0	0.127274781576275	0.300894714917518	0.160715502680431	0.064252612492652	0.0475582851493938	0.00693314014281637	0	0	0.436588150754479	0.900562871557665
TCGA.A6.2675.01A.02R.1723.07	0.108422971307815	0.0772234787675914	0.118605312326286	0.0652296723332006	0.0924780233873471	0.0675902657504052	0.125968634856214	0.0825659504012945	0.0624364564552289	0.043328334013115	0.0515182699635931	0.104632630437909	0	0.797548644168719	0.676403484706232
TCGA.A6.2675.11A.01R.1723.07	0.121254404681694	0.0878066075908077	0.130549795371395	0.0503561036042653	0.116833854429364	0.0430937294493121	0.121169180396539	0.0624850825681743	0.0623045141437965	0.0462335282133321	0.0438151394263453	0.114098060124974	0	0.707000890190012	0.735619798282056
TCGA.A6.2676.01A.01R.0826.07	0.0779275497561603	0.138685321661606	0.142448996000701	0.0434955513647467	0.0479809971262411	0.045114870190215	0.128500381298174	0.108001276504811	0.0830876435403095	0.0518869229063888	0.0812380535504325	0.0516324361002141	0	0.6719591313327	0.775750066759412
TCGA.A6.2677.01A.01R.0821.07	0.106200897209941	0.154704135321688	0.147190331513592	0.0761766608559896	0.0449048122902354	0.0481722761616682	0.144627091995819	0.0619466101090831	0.0606431683353604	0.0509874256552774	0.0532138022001524	0.0512327883511927	0	0.734710241311871	0.745575453922436
TCGA.A6.2677.01B.02R.A277.07	0.139333684912266	0.0738751151609141	0.124295333728834	0.0997865676969732	0	0.0838414053452842	0.31564835806303	0.0639822327353013	0.0424545842969426	0.0547901074767846	0.00199261058367008	0	0	0.468764757555108	0.887187713865146
TCGA.A6.2678.01A.01R.0821.07	0.100870265073593	0.124992484854503	0.168667771793552	0.0969217045760963	0.0430078093695162	0.0602968990061543	0.124579442184037	0.0713151969292148	0.0671243134011772	0.0287543187796084	0.0597641373493622	0.0537056566831846	0	0.674838098426247	0.777368046928313
TCGA.A6.2678.11A.01R.A32Z.07	0.134885882149631	0.0575308123921097	0.122293988741973	0.0757780201398787	0.139873660255228	0.036690054242436	0.119518454066775	0.0817482834230769	0.0565881353689486	0.0361815307505368	0.031103178032912	0.107808000436495	0	0.658273997711206	0.766438062854024
TCGA.A6.2679.01A.02R.1410.07	0.118874202151057	0.0229275454968742	0.114668410381057	0.0109211090459396	0.211383078745237	0.046468433071977	0.0671400815083828	0.0621688071088948	0.081846480908599	0.0569527376887304	0.0624460066197099	0.144203107273541	0	0.673340388428413	0.742740887103541
TCGA.A6.2679.11A.01R.A32Z.07	0.142469327651217	0.0635111929272415	0.132545666180767	0.064956142317156	0.145705442075641	0.0258036710913226	0.0922276289547594	0.0869182573173378	0.0650670906314304	0.0406708048434066	0.034781438857467	0.105343337152253	0	0.546827058498162	0.837715967995796
TCGA.A6.2680.01A.01R.1410.07	0.116786941575135	0.0897881721618047	0.0955064362886891	0.0652135021349333	0.12438813548178	0.0635635870059706	0.087336290378937	0.0582547777771917	0.0742313351823192	0.0473132421476284	0.0585399593981629	0.119077620467448	0	0.810619570216662	0.652692655584096
