Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.AZ.6603.01A.11R.1839.07	0.0727176946484464	0	0.0108711705985066	0.0709335207138124	0	0.169651042224177	0.0533725064062712	0.047627685456323	0.00231805509402062	0	0.0358728210683149	0	0.0230607138516427	0.0949823183433	0.211933552323451	0.127965316065877	0.0372597146189876	0	0.0414338885868692	0	0	0	0.014	0.252828638436838	0.9896276704624
TCGA.AZ.6603.11A.02R.1839.07	0.0105249500378065	0	0	0.151651049227424	0	0.0934318161542968	0.0227712958664493	0.0191487986643098	0.0278288043099051	0	0.0091600710683623	0.00656108314612115	0.0936138465756904	0	0.156849717129031	0.312586800567939	0.00284137332419061	0	0.0930303939284746	0	0	0	0.226	0.0599225867952097	1.06670425286924
TCGA.AZ.6605.01A.11R.1839.07	0.108401327066924	0	0.0241508262211504	0.0203597466204364	0	0.145797364455343	0.00898401236235499	0.0270766570950083	0.0674297142606534	0	0.000630537798799937	0	0	0.373900670746995	0.0843603098114503	0.0978561771292299	0	0	0.019654730626183	0.0213979258054716	0	0	0.026	0.19214149180128	1.02269376545468
TCGA.AZ.6605.11A.01R.1839.07	0.0373769196910742	0	0	0.0834423496881025	0	0.271586965102802	0	0	0.0499122815913734	0	0	0.0162743858108293	0.0749955306713167	0	0.0221397780931468	0.271024138882116	0.0298383415027902	0	0.143409308966449	0	0	0	0.153	0.0866604575876851	1.04455490029595
TCGA.AZ.6606.01A.11R.1839.07	0.081207311153667	0	0	0.0188642574202338	0	0.207545973701616	0.0102898723010529	0.0860666257989024	0.0686035915681614	0	0	0.0287022393718389	0	0.225876041412246	0.0361560942988972	0.163493771965917	0	0.017455886323128	0	0.0557383346843389	0	0	0.304	0.0434641010306485	1.07467216873233
TCGA.AZ.6607.01A.11R.1839.07	0.0186677619684666	0	0.00599196329939556	0.138022071965137	0	0.224374854466924	0.068605612808679	0	0	0	0.0308304321638294	0.0178678836438885	0.00274506357860843	0.13955590434049	0.0973452105826754	0.103655705058197	0.0805449380810505	0.00895332457828552	0	0.0559120486272059	0.00692722483716643	0	0.08	0.131449478746777	1.03506339864312
TCGA.AZ.6608.01A.11R.1839.07	0.138193092240975	0	0.023441313282924	0	0	0.213184611888419	0.18712479819822	0.00157158103644534	0.0276417965333538	0	0.0474524553046299	0	0	0.275170112744008	0.0296488846821943	0.0560517625560726	0	0	0	0.000519591532757932	0	0	0.254	0.0528941337991663	1.06736422666094
TCGA.CA.5254.01A.21R.1839.07	0	0.00146784061400112	0.0690697937822759	0.128138504580782	0	0.294869775505438	0	0.0206868082329032	0.0497223876910759	0	0	0.00667976450530727	0	0.24772310204707	0.0546540852460824	0.0990954795768186	0	0	0.0278924582182458	0	0	0	0.085	0.127106954985349	1.04630403451701
TCGA.CA.5255.01A.11R.1839.07	0.178191081774944	0	0.0222219489927724	0.134733577801408	0	0.128677685970473	0	0.0184051941930142	0.056602231602418	0	0	0	0	0.0991006937026349	0.109973136743955	0.0637020522395106	0.100980632384216	0.0306396809799894	0.00748341912618341	0.0492886644884814	0	0	0.17	0.0783941002397972	1.05745729022346
TCGA.CA.5256.01A.01R.1410.07	0.0392643572789388	0	0.00311822861058584	0.154800634720281	0	0.18225690016886	0.0663255745030139	0.0384471452661856	0.0215837097114946	0	0	0.006683071375928	0	0.0575562033414686	0.0678200837186134	0.203418317723632	0.101571804958308	0.00248570191080071	0	0.0546682667118887	0	0	0.159	0.0847552706585536	1.04826797516539
TCGA.CA.5796.01A.01R.1653.07	0.0525844837590944	0	0.142757822449492	0.0966311342728934	0	0.335410466599328	0.0170010918028046	0.00491229021132161	0.0541511758131904	0	0	6.95444003375028e-05	0	0.115641229592757	0.0223887906735282	0.0784142638316375	0.0665859706935304	0	0.0134517359000848	0	0	0	0.00800000000000001	0.282620850872983	0.974786896610425
TCGA.CA.5797.01A.01R.1653.07	0.0653285124866888	0	0.0409721309026737	0.105753549986117	0	0.00874985952346241	0.0518295228686467	0.0163744807084144	0.0673356637046315	0	0.0069556913937564	0	0	0.345352543105622	0.127964094079144	0.0767855955532934	0.0121645462962657	0	0.0744338093912841	0	0	0	0.016	0.245156364167055	0.993506975860818
TCGA.CA.6715.01A.21R.1839.07	0.0460194409516513	0	0.00824933578032828	0.0662686113777642	0	0.0750696015756753	0	0.0405353402509544	0.0627607601029091	0	0.0132055192550727	0.00870656564143779	0	0.485356454712632	0.0290317036116718	0.0362277924590736	0	0	0	0.125902261889213	0	0.00266661239161687	0.132	0.0944631070063289	1.09302583447612
TCGA.CA.6716.01A.11R.1839.07	0.0793449314615518	0	0.00758717997103302	0.0316263800768865	0	0.11501536861962	0.111223762615419	0.0140778142555793	0.0139071085153057	0	0.0927521162614549	0	0.0202187367436245	0.375980464328964	0	0.0728148928429639	0	0	0	0.0654512443075974	0	0	0.114	0.108652772507707	1.05834252196942
TCGA.CA.6717.01A.11R.1839.07	0.0757234827273612	0	0.0334031718024049	0.0738230407258421	0	0.041269199993723	0	0.0503302661894499	0.093796146596485	0	0	0.0281660111535813	0	0.277626565354824	0.0744116755079841	0.137777349417494	0.0558162664837823	0	0.0167157656763013	0.0411410583707672	0	0	0.027	0.189986469145322	1.01294266677718
TCGA.CA.6718.01A.11R.1839.07	0.084257406313102	0	0.0600900315206898	0.0844499073833387	0	0.0515157220697366	0.0899662163123317	0.0546366543265434	0.00138674773403307	0.0573801120059898	0.0537641381901345	0.0334744086847719	0	0.0811051140809711	0.191942268212139	0.0837753639815918	0.0296263220977266	0	0.0360877393748678	0	0	0.00654184771203195	0.002	0.429468029167393	0.903218599983345
TCGA.CA.6719.01A.11R.1839.07	0.0287898537467991	0	0.00754939093695837	0.084944492248493	0	0.0810652609408288	0	0.0133934654917517	0.0860494007279771	0	0	0.00292557688332706	0	0.515389437341563	0.0763201021851313	0.0970594394769411	0	0	0.00651358002022917	0	0	0	0.026	0.191417813594109	1.04997730735621
TCGA.CK.4947.01B.11R.1653.07	0.0569674549408451	0	0.024366920127238	0.150862562812669	0	0.157898957805163	0.0392867888626831	0.0523059785615515	0.0655696949502723	0	0.0084086282675192	0	0.00262974270992526	0.0847563584198856	0.0691283949111641	0.111265494397051	0.111289839065579	0	0.0484212359894259	0	0.00826590779592831	0.00857604038309915	0.0679999999999999	0.141732874194305	1.02262120249847
TCGA.CK.4948.01B.11R.1653.07	0.00720954746015066	0.000448779369689876	0	0.0207463521027871	0	0.112718511654514	0.0870479260878417	0.0236791499342653	0.0305917359843263	0	0.0238509209336552	0	0	0.443278862647695	0	0.101888788104742	0	0.0417139654050173	0	0.0797322434070051	0	0.0270932169083104	0.011	0.275856936410956	0.993244950566758
TCGA.CK.4950.01A.01R.1723.07	0.0255352256803775	0	0.0932256353801631	0.12997534022588	0	0.106541640037546	0.0681746041350256	0.110464983534127	0.0104312479718876	0	0.00437398349263227	0	0	0.193401503520655	0.038999603585935	0.125314952152768	0.00381291492913675	0	0.0262144149160938	0.0351136261324671	0.00529308827793104	0.0231272360273749	0.019	0.216143263543318	0.995933950871794
TCGA.CK.4951.01A.01R.1410.07	0.00860328434522709	0	0.000902255548744277	0.0546891875598338	0	0.061016625767185	0.0135199394942221	0.0630636600852267	0.0969437249225582	0	0.0174225211888319	0	0	0.27476125538064	0.147928512697932	0.166398552115799	0.00766069708365692	0.00794627990199468	0	0.0791435039081476	0	0	0.005	0.311290774346101	0.966193850534129
TCGA.CK.4952.01A.01R.1723.07	0.0287506244954301	0	0.0135759153412367	0	0	0.226676866385367	0.00722935505773966	0	0	0	0.00766443688517117	0.00257799878390131	0	0.339172924887194	0.0424866672015387	0.114288892188172	0	0.00390475514716102	0	0.0570512876643801	0.0186186758368172	0.138001600125891	0.0580000000000001	0.151798024487451	1.0476893469987
TCGA.CK.5912.01A.11R.1653.07	0.0778345217568112	0	0.0513484893515461	0.00899364802259232	0	0.117056961575654	0.0327907772136746	0.0475737344474098	0.01860385090454	0	0.0198620843665337	0	0	0.437374626767173	0.0323347410389651	0.0484919484247654	0.0300523938295225	0	0	0.0776822223008121	0	0	0.046	0.163665408842047	1.04327547199352
TCGA.CK.5913.01A.11R.1653.07	0.0226142120603782	0	0.00268249843561726	0.0397248527268638	0	0.0996378754812464	0.0385543209584798	0.103614860071483	0.0501595242431166	0	0.0719785369565874	0	0	0.21842136121294	0.0654960539691885	0.0650837113400579	0.0374234469392355	0.0135899863606512	0	0.131182531477814	0	0.0398362277663403	0.026	0.191635230155165	1.01075849373252
TCGA.CK.5914.01A.11R.1653.07	0.0311615939441944	0	0.00299305456032246	0.161820351274732	0	0.0894106196833149	0.101990171102876	0.0783316885515777	0	0	0	0.0495775862883549	0	0.173427373093836	0.127604740867781	0.120000403255011	0.00677250538673084	0	0	0.0569099119912703	0	0	0.092	0.121131273088585	1.04653450387151
TCGA.CK.5915.01A.11R.1653.07	0.0230732556623321	0	0	0.101468058873698	0	0.314569739749308	0.201558446573284	0	0	0	0.0986834991933259	0	0.0475501693456928	0.100930805526298	0	0.00392979630170281	0.0238260655222564	0.030838120586422	0	0.0533761775953737	0.000195865070306991	0	0.183	0.0740374701055239	1.06942478397676
TCGA.CK.5916.01A.11R.1653.07	0.0442593633060228	0	0.00720913985012457	0.141632944792157	0	0.0366694500411935	0.0878148460429894	0.0468061976044525	0.0321796620365782	0.0411942973721062	0	0.0437397341253807	0	0.174451800683929	0.0930642589300032	0.122258456353899	0.0372419039138495	0	0.073893085364857	0	0	0.017584859582458	0.045	0.16583935272061	1.01563239722996
TCGA.CK.6746.01A.11R.1839.07	0.0370280261340094	0	0.00422759243369107	0.222478101972694	0	0	0.174613391390591	0.0255249900192466	0.00226898163788616	0.021090254042132	0.0329519968828379	0	0	0.00560032380000366	0.200520699666804	0.223419908106441	0.0128665294484906	0	0.037409204465172	0	0	0	0.00700000000000001	0.288253288954787	0.974922677985479
TCGA.CK.6747.01A.11R.1839.07	0.109965834380022	0	0.0981971156037513	0.089675546766696	0	0.222207092450109	0.0762057376538811	0.019143579160539	0.062533089157967	0	0.00214295728956622	0	0.00285029601979739	0.0857772982577485	0.0683604145946256	0.0859634893572569	0.0622812659802131	0	0.0146962833278267	0	0	0	0.005	0.335351818778784	0.945831693572867
TCGA.CK.6748.01A.11R.1839.07	0.00240459482163518	0	0	0.0177716277566482	0	0.0747492162312536	0.0266013750947677	0	0.0274651636607355	0	0	0.00210986148057101	0	0.67487698388727	0.00427380419730491	0.0854089955894067	0.00438604766189295	0.00665000081403619	0	0.0660861704417486	0	0.00721615836272949	0.00700000000000001	0.288077297730372	1.03698076995785
TCGA.CK.6751.01A.11R.1839.07	0.00989743991556125	0	0	0.132919430367652	0	0.0841721511529035	0.0369206758927373	0.0988730370565946	0.0681212837581658	0	0.00699661203340038	0	0	0.283859113709832	0.0194876616010423	0.123960386497305	0	0.0467371844326689	0	0.0880550235821373	0	0	0.137	0.0933275277241931	1.06136987004912
TCGA.CM.4743.01A.01R.1723.07	0	0.0230507986879549	0.00303289621010834	0.0328162719962962	0.0029274984430881	0	0.223323728076646	0.0249367812926769	0	0.0150076965074957	0.000519528166956328	0.164165502854375	0.0058828425900191	0.045036658259515	0.174117750791283	0.0837031734433494	0	0.0470706949195488	0.154408177760687	0	0	0	0.018	0.228461128746877	1.01285862663163
TCGA.CM.4744.01A.01R.A32Z.07	0.0180574038215593	0	0	0.416281340003821	0	0	0.235301410722593	0.0478320580725229	0.0429802259121271	0	0	0.0318604699861835	0.00497529415146761	0.0403711434112566	0.0352505680231694	0.0658298973780697	0.0223426260824072	0.00664718569568023	0.0322703767391429	0	0	0	0.039	0.174914137235318	1.0380219024922
TCGA.CM.4746.01A.01R.1410.07	0.00201268834514386	0	0	0.266302507357242	0	0.127992180720211	0	0	0.0910693460531548	0	0	0.0699009175811707	0	0.234372592361762	0.0504924647415929	0.123518036754119	0	0.0343392660856032	0	0	0	0	0.247	0.0546998661639876	1.09087897730029
TCGA.CM.4747.01A.01R.1410.07	0.0158939687683387	0.00990617212491058	0.0016601081858042	0.0511619863149774	0.0611524240619245	0	0	0.0191876830253817	0.136045739603903	0.00303844466596531	0.00654334602424683	0	0	0.459175151383239	0.0213392929867742	0.0431775071827658	0	0	0	0.171718175671769	0	0	0.0620000000000001	0.148356926739192	1.06742708208821
TCGA.CM.4748.01A.01R.1410.07	0.106591380171183	0	0.00266462217209488	0.063564268371017	0	0.0237796434678846	0.0366842168601751	0.041163767022716	0.0903129894968007	0	0.019066211496331	0	0	0.312129941964905	0.0497863057488158	0.133617979989109	0.0438871877288752	0	0	0.0767514855100931	0	0	0.013	0.257190024844141	0.985973395695656
