Mixture	CD4_Tem	CD8_Tem_GZMK_high	CD8_Tem_GZMK_low	CD8_Tem_PD1	HLADR_CD8	MAIT	Naive_like	NK	Tex	Tgd	Treg	Tte	P-value	Correlation	RMSE
TCGA.49.4488.01A.01R.1755.07	0.099308971990021	0.104665582668477	0.128126054015714	0.0419587879603871	0.116894652342824	0.0554990953263633	0.097787148590625	0.088063788947373	0.0740190035411883	0.0449087229053461	0.0641057921140456	0.084662399597636	0	0.709000019805775	0.754315863025065
TCGA.49.4490.01A.21R.1858.07	0.101805522172479	0.121658630346306	0.152654109335564	0.0370360081729613	0.0642113451679714	0.0513331695447687	0.105778173017365	0.0874319323905373	0.0879089988930605	0.0361534961749255	0.0733323811423243	0.0806962336417369	0	0.684418325025835	0.771454754722966
TCGA.49.4490.11A.01R.1858.07	0.0935616687683908	0.127762825701677	0.110249651153662	0.0340869364160046	0.087291718131902	0.0278038867756792	0.13536558135079	0.139150423207687	0.0614558573659788	0.0485410549837922	0.0657920482390482	0.0689383479053872	0	0.707202827847649	0.753999918007313
TCGA.49.4494.01A.01R.1206.07	0.107971251407117	0.127742437288439	0.164350532809449	0.0313547688212035	0.0737639266978321	0.0479340552850272	0.10255272921913	0.0922174626041518	0.073908352218946	0.0316588819941241	0.0670745802878584	0.0794710213667218	0	0.660464155735739	0.786132336460805
TCGA.49.4501.01A.01R.1206.07	0.0968540766838728	0.108780660490253	0.10629105662903	0.0504318535716627	0.0945110312521158	0.0457469988617424	0.140788221120701	0.0762522900643398	0.0786896961171422	0.0514479853546104	0.0791690717636299	0.0710370580908991	0	0.754057497200517	0.730552104925804
TCGA.49.4505.01A.01R.1206.07	0.0769244419978179	0.137306646629017	0.0989547818879628	0.0397827023061935	0.0951421217895394	0.0539105097820591	0.121713466692733	0.0992582580521368	0.0810162699248208	0.0350073777147955	0.0718795809901298	0.0891038422327943	0	0.741691708423144	0.736055254964426
TCGA.49.4506.01A.01R.1206.07	0.0669577683458161	0.144774905822913	0.0977237543492454	0.0441264324043045	0.111634463935409	0.0452739486171736	0.160030966965137	0.059859021860856	0.0631948056828086	0.0477247959910758	0.0842265924651958	0.0744725435600648	0	0.627633878320978	0.805095509315042
TCGA.49.4507.01A.01R.1206.07	0.0933400084816543	0.101328090926207	0.133223605851858	0.0288499002605019	0.134116689824642	0.0627809902497522	0.0744802081617052	0.0808097286273255	0.0703786837194632	0.0537243207325263	0.0901589194171797	0.0768088537471849	0	0.571866340119136	0.82885816944642
TCGA.49.4510.01A.01R.1206.07	0.106631018071705	0.0672543870717352	0.134564973153023	0.0420140671998279	0.135222882649834	0.0600021857586969	0.0782953982368397	0.0778706020753432	0.065410963697203	0.0637673525976916	0.0757102942792326	0.0932558752088677	0	0.707877183450213	0.7488849453488
TCGA.49.4512.01A.21R.1858.07	0.124526258074546	0.0867998435381504	0.168672478785595	0.0434358245440514	0.0643533580941941	0.0712351338556653	0.105883889842289	0.0895648909977459	0.0766650086021095	0.0327211742408077	0.0699503301807677	0.0661918092440787	0	0.652257334249603	0.788583773260446
TCGA.49.4512.11A.01R.1858.07	0.0937433595122417	0.112135334904596	0.125775497778696	0.0341773819672041	0.100976784468912	0.0310356843693431	0.122654064636531	0.119359386440961	0.057501100470344	0.049605526050928	0.0698617499163663	0.0831741294838773	0	0.702484633555642	0.757143104743449
TCGA.49.4514.01A.21R.1858.07	0.0943063275752263	0.118762513564374	0.188718060086666	0.0481069885122501	0.109037964576084	0.0430807216053246	0.0779368391718422	0.0413794925833787	0.0796445657705253	0.0501423246172127	0.0640511080155148	0.0848330939216011	0	0.669568586659334	0.782782660575834
TCGA.49.6742.01A.11R.1858.07	0.0966717148268258	0.145047158867305	0.156564267987514	0.0527998766188758	0.0537586383977622	0.0465301320570851	0.118044785982881	0.0711288044544515	0.0790798230806295	0.0346830983158666	0.0701966235657241	0.0754950758450799	0	0.633845235038955	0.804555385002843
